time,q_river
2010-08-22,353.53107
2010-08-23,287.0025
2010-08-24,305.363
2010-08-25,336.68076
2010-08-26,390.78976
2010-08-27,684.8585
2010-08-28,765.81
2010-08-29,586.14246
2010-08-30,438.9992
2010-08-31,374.8047
2010-09-01,387.6925
2010-09-02,405.47583
2010-09-03,455.28583
2010-09-04,586.4204
2010-09-05,624.7182
2010-09-06,536.223
2010-09-07,387.1876
2010-09-08,295.38263
2010-09-09,345.6227
2010-09-10,380.06104
2010-09-11,360.53595
2010-09-12,366.60284
2010-09-13,345.0042
2010-09-14,283.37476
2010-09-15,254.67741
2010-09-16,234.94174
2010-09-17,225.17863
2010-09-18,219.01248
2010-09-19,240.97578
2010-09-20,280.37973
2010-09-21,352.94406
2010-09-22,446.23502
2010-09-23,412.5375
2010-09-24,373.74747
2010-09-25,449.33115
2010-09-26,445.68146
2010-09-27,384.6752
2010-09-28,389.67984
2010-09-29,412.6759
2010-09-30,355.5854
2010-10-01,274.01163
2010-10-02,287.8403
2010-10-03,462.78445
2010-10-04,657.97455
2010-10-05,592.4894
2010-10-06,406.7087
2010-10-07,288.24936
2010-10-08,227.72218
2010-10-09,183.13026
2010-10-10,176.79543
2010-10-11,181.94537
2010-10-12,164.76245
2010-10-13,144.4046
2010-10-14,139.96019
2010-10-15,159.70654
2010-10-16,179.83823
2010-10-17,250.7108
2010-10-18,303.255
2010-10-19,343.70963
2010-10-20,297.13416
2010-10-21,229.94292
2010-10-22,235.81766
2010-10-23,299.96463
2010-10-24,279.69443
2010-10-25,320.3994
2010-10-26,415.94373
2010-10-27,374.24863
2010-10-28,265.9654
2010-10-29,204.37175
2010-10-30,205.97656
2010-10-31,197.63632
2010-11-01,187.3032
2010-11-02,198.44449
2010-11-03,279.69693
2010-11-04,331.35727
2010-11-05,261.4284
2010-11-06,254.67616
2010-11-07,279.76517
2010-11-08,247.41391
2010-11-09,236.01459
2010-11-10,255.29755
2010-11-11,264.96844
2010-11-12,284.33762
2010-11-13,247.21039
2010-11-14,305.51044
2010-11-15,385.03232
2010-11-16,358.65967
2010-11-17,365.5006
2010-11-18,300.11536
2010-11-19,269.35727
2010-11-20,289.22046
2010-11-21,321.71616
2010-11-22,301.2631
2010-11-23,298.77075
2010-11-24,382.85385
2010-11-25,374.74216
2010-11-26,270.71893
2010-11-27,219.76286
2010-11-28,249.08
2010-11-29,284.61246
2010-11-30,284.48804
2010-12-01,434.15756
2010-12-02,821.0594
2010-12-03,1214.6733
2010-12-04,1158.1038
2010-12-05,891.2529
2010-12-06,649.8942
2010-12-07,480.86456
2010-12-08,376.9332
2010-12-09,296.86078
2010-12-10,297.42352
2010-12-11,303.80844
2010-12-12,256.0974
2010-12-13,219.0852
2010-12-14,194.62053
2010-12-15,193.99704
2010-12-16,246.10263
2010-12-17,274.2463
2010-12-18,225.55124
2010-12-19,185.7847
2010-12-20,202.28293
2010-12-21,211.26076
2010-12-22,200.33983
2010-12-23,169.97977
2010-12-24,142.85031
2010-12-25,124.1305
2010-12-26,125.81226
2010-12-27,177.51254
2010-12-28,248.88573
2010-12-29,249.19896
2010-12-30,252.04166
2010-12-31,267.40588
2011-01-01,202.41133
2011-01-02,152.44716
2011-01-03,146.58394
2011-01-04,173.31735
2011-01-05,204.69225
2011-01-06,189.3964
2011-01-07,187.09723
2011-01-08,157.27505
2011-01-09,113.22449
2011-01-10,92.50177
2011-01-11,112.158165
2011-01-12,209.30003
2011-01-13,268.89502
2011-01-14,216.88678
2011-01-15,135.99548
2011-01-16,97.86683
2011-01-17,91.131096
2011-01-18,102.851295
2011-01-19,95.35363
2011-01-20,90.83945
2011-01-21,83.178406
2011-01-22,76.62046
2011-01-23,66.362114
2011-01-24,62.052177
2011-01-25,79.040886
2011-01-26,91.43971
2011-01-27,71.84892
2011-01-28,58.182278
2011-01-29,57.391136
2011-01-30,52.81219
2011-01-31,48.152897
2011-02-01,51.699844
2011-02-02,48.761784
2011-02-03,42.261497
2011-02-04,38.616962
2011-02-05,35.87908
2011-02-06,32.695908
2011-02-07,30.439445
2011-02-08,29.772583
2011-02-09,30.062162
2011-02-10,35.368557
2011-02-11,68.85918
2011-02-12,86.98929
2011-02-13,61.8998
2011-02-14,55.64228
2011-02-15,100.49065
2011-02-16,136.13388
2011-02-17,111.4042
2011-02-18,87.952995
2011-02-19,76.44353
2011-02-20,73.29633
2011-02-21,89.374794
2011-02-22,76.48727
2011-02-23,58.049152
2011-02-24,48.35849
2011-02-25,44.773823
2011-02-26,60.15005
2011-02-27,86.19316
2011-02-28,116.999954
2011-03-01,158.98145
2011-03-02,204.53687
2011-03-03,210.68358
2011-03-04,216.94376
2011-03-05,309.40912
2011-03-06,298.39938
2011-03-07,212.5869
2011-03-08,210.9794
2011-03-09,186.46056
2011-03-10,152.62274
2011-03-11,185.19872
2011-03-12,213.16592
2011-03-13,183.76578
2011-03-14,138.85178
2011-03-15,117.83988
2011-03-16,120.392876
2011-03-17,105.16643
2011-03-18,100.84232
2011-03-19,103.37257
2011-03-20,173.26988
2011-03-21,229.9107
2011-03-22,244.31839
2011-03-23,290.66376
2011-03-24,253.98543
2011-03-25,189.75027
2011-03-26,167.63988
2011-03-27,192.69576
2011-03-28,184.92555
2011-03-29,203.64696
2011-03-30,242.19328
2011-03-31,222.68213
2011-04-01,205.35556
2011-04-02,210.29257
2011-04-03,233.10202
2011-04-04,188.75584
2011-04-05,298.34183
2011-04-06,484.13495
2011-04-07,424.0983
2011-04-08,308.77536
2011-04-09,283.6381
2011-04-10,427.15958
2011-04-11,591.04535
2011-04-12,500.50452
2011-04-13,392.1276
2011-04-14,448.99063
2011-04-15,345.70163
2011-04-16,234.89641
2011-04-17,247.9043
2011-04-18,276.84656
2011-04-19,224.74637
2011-04-20,279.28293
2011-04-21,374.09558
2011-04-22,367.87476
2011-04-23,314.7163
2011-04-24,270.8485
2011-04-25,268.94095
2011-04-26,273.08795
2011-04-27,265.94986
2011-04-28,224.77719
2011-04-29,263.05484
2011-04-30,279.42596
2011-05-01,223.08586
2011-05-02,194.82349
2011-05-03,163.02666
2011-05-04,138.46365
2011-05-05,132.81436
2011-05-06,137.66948
2011-05-07,144.88095
2011-05-08,131.91129
2011-05-09,148.97906
2011-05-10,181.21027
2011-05-11,147.63055
2011-05-12,127.36009
2011-05-13,141.50526
2011-05-14,187.71263
2011-05-15,233.00897
2011-05-16,209.20728
2011-05-17,159.94632
2011-05-18,125.20351
2011-05-19,106.57437
2011-05-20,108.54588
2011-05-21,106.042534
2011-05-22,89.70819
2011-05-23,97.0749
2011-05-24,171.88206
2011-05-25,191.13133
2011-05-26,153.82085
2011-05-27,171.79918
2011-05-28,193.73167
2011-05-29,261.14777
2011-05-30,271.23132
2011-05-31,240.57535
2011-06-01,257.9817
2011-06-02,321.004
2011-06-03,387.18164
2011-06-04,379.60617
2011-06-05,354.31235
2011-06-06,310.27985
2011-06-07,246.21988
2011-06-08,190.11295
2011-06-09,362.28537
2011-06-10,331.3864
2011-06-11,233.85007
2011-06-12,172.4744
2011-06-13,145.55106
2011-06-14,150.6438
2011-06-15,181.3716
2011-06-16,203.87012
2011-06-17,217.06993
2011-06-18,281.73087
2011-06-19,319.7527
2011-06-20,332.1802
2011-06-21,330.01593
2011-06-22,317.6984
2011-06-23,320.39816
2011-06-24,348.92838
2011-06-25,422.5636
2011-06-26,416.45938
2011-06-27,406.32043
2011-06-28,443.2213
2011-06-29,459.47302
2011-06-30,372.43695
2011-07-01,310.73273
2011-07-02,312.71948
2011-07-03,274.10486
2011-07-04,297.4149
2011-07-05,272.4243
2011-07-06,238.06248
2011-07-07,244.23247
2011-07-08,295.59027
2011-07-09,263.07782
2011-07-10,228.74146
2011-07-11,241.39075
2011-07-12,280.7785
2011-07-13,290.99606
2011-07-14,322.16907
2011-07-15,736.4476
2011-07-16,802.9066
2011-07-17,505.28284
2011-07-18,322.2148
2011-07-19,261.65158
2011-07-20,229.49756
2011-07-21,227.18634
2011-07-22,274.87378
2011-07-23,337.0901
2011-07-24,299.85046
2011-07-25,242.13559
2011-07-26,221.28221
2011-07-27,223.57181
2011-07-28,244.09877
2011-07-29,253.6112
2011-07-30,497.01984
2011-07-31,1323.1161
2011-08-01,1123.7803
2011-08-02,608.54895
2011-08-03,401.9886
2011-08-04,380.50085
2011-08-05,382.57883
2011-08-06,315.51068
2011-08-07,269.43515
2011-08-08,275.30142
2011-08-09,224.10046
2011-08-10,181.92064
2011-08-11,212.61565
2011-08-12,257.94202
2011-08-13,253.97482
2011-08-14,231.84047
2011-08-15,295.1242
2011-08-16,343.9178
2011-08-17,286.47723
2011-08-18,257.4508
2011-08-19,251.25256
2011-08-20,235.03795
2011-08-21,360.14172
2011-08-22,438.9355
2011-08-23,340.95575
2011-08-24,308.46185
2011-08-25,345.70963
2011-08-26,403.9207
2011-08-27,346.54608
2011-08-28,274.92926
2011-08-29,249.6592
2011-08-30,242.30066
2011-08-31,212.08525
2011-09-01,186.81396
2011-09-02,182.10464
2011-09-03,177.52985
2011-09-04,171.8393
2011-09-05,172.43774
2011-09-06,171.74406
2011-09-07,156.34946
2011-09-08,150.37204
2011-09-09,228.50838
2011-09-10,593.4051
2011-09-11,778.50165
2011-09-12,576.2999
2011-09-13,401.9973
2011-09-14,311.30045
2011-09-15,233.78398
2011-09-16,203.4947
2011-09-17,220.62729
2011-09-18,270.36246
2011-09-19,317.42255
2011-09-20,387.5075
2011-09-21,338.2558
2011-09-22,262.41214
2011-09-23,221.5311
2011-09-24,209.57523
2011-09-25,226.83228
2011-09-26,257.02072
2011-09-27,327.5285
2011-09-28,287.42944
2011-09-29,213.42888
2011-09-30,168.59494
2011-10-01,153.20477
2011-10-02,147.78922
2011-10-03,165.25296
2011-10-04,206.05197
2011-10-05,258.07748
2011-10-06,330.1381
2011-10-07,356.51437
2011-10-08,304.93768
2011-10-09,276.46005
2011-10-10,289.80887
2011-10-11,337.47614
2011-10-12,311.14767
2011-10-13,365.9253
2011-10-14,1038.0103
2011-10-15,1120.6061
2011-10-16,784.7474
2011-10-17,965.8334
2011-10-18,1291.5864
2011-10-19,1681.4626
2011-10-20,1465.8088
2011-10-21,876.1519
2011-10-22,497.39023
2011-10-23,325.91556
2011-10-24,237.4837
2011-10-25,197.24623
2011-10-26,193.8204
2011-10-27,197.92978
2011-10-28,201.59935
2011-10-29,236.41385
2011-10-30,326.51065
2011-10-31,410.88635
2011-11-01,519.7257
2011-11-02,372.38785
2011-11-03,225.7909
2011-11-04,157.9724
2011-11-05,144.30368
2011-11-06,144.6387
2011-11-07,137.60703
2011-11-08,155.05127
2011-11-09,207.2411
2011-11-10,250.7456
2011-11-11,301.73358
2011-11-12,301.7282
2011-11-13,480.61816
2011-11-14,748.248
2011-11-15,646.1497
2011-11-16,423.26483
2011-11-17,335.54684
2011-11-18,352.89932
2011-11-19,429.01627
2011-11-20,760.8735
2011-11-21,814.92694
2011-11-22,574.6599
2011-11-23,371.39362
2011-11-24,246.70644
2011-11-25,208.25504
2011-11-26,251.07614
2011-11-27,249.11159
2011-11-28,213.75102
2011-11-29,235.77379
2011-11-30,284.98807
2011-12-01,309.5762
2011-12-02,303.48648
2011-12-03,306.4465
2011-12-04,324.4695
2011-12-05,282.5606
2011-12-06,227.46098
2011-12-07,175.35648
2011-12-08,163.045
2011-12-09,213.45059
2011-12-10,251.89029
2011-12-11,222.36621
2011-12-12,186.74617
2011-12-13,283.09406
2011-12-14,406.01468
2011-12-15,425.01666
2011-12-16,505.4884
2011-12-17,527.0683
2011-12-18,534.97754
2011-12-19,470.60745
2011-12-20,374.385
2011-12-21,428.80402
2011-12-22,403.67487
2011-12-23,289.9042
2011-12-24,269.54272
2011-12-25,264.53415
2011-12-26,216.57117
2011-12-27,168.73154
2011-12-28,140.22751
2011-12-29,114.84939
2011-12-30,105.04952
2011-12-31,106.219124
2012-01-01,109.42676
2012-01-02,128.83168
2012-01-03,144.5423
2012-01-04,109.39645
2012-01-05,99.60779
2012-01-06,181.55421
2012-01-07,235.05362
2012-01-08,175.39427
2012-01-09,150.55162
2012-01-10,131.6379
2012-01-11,106.309395
2012-01-12,90.65459
2012-01-13,94.09513
2012-01-14,86.296074
2012-01-15,82.699295
2012-01-16,100.43503
2012-01-17,152.6808
2012-01-18,212.90768
2012-01-19,180.97787
2012-01-20,124.7835
2012-01-21,107.020325
2012-01-22,96.26791
2012-01-23,76.53356
2012-01-24,63.160355
2012-01-25,61.672443
2012-01-26,80.8691
2012-01-27,106.03137
2012-01-28,122.8281
2012-01-29,89.98955
2012-01-30,68.34034
2012-01-31,60.217556
2012-02-01,56.7973
2012-02-02,65.47749
2012-02-03,69.36051
2012-02-04,57.19895
2012-02-05,46.19901
2012-02-06,41.858288
2012-02-07,39.74242
2012-02-08,38.761253
2012-02-09,45.35895
2012-02-10,62.3925
2012-02-11,58.39343
2012-02-12,49.021244
2012-02-13,43.333263
2012-02-14,43.38143
2012-02-15,43.271004
2012-02-16,38.548763
2012-02-17,34.022827
2012-02-18,31.02518
2012-02-19,28.165943
2012-02-20,26.239834
2012-02-21,27.53668
2012-02-22,28.59458
2012-02-23,26.436289
2012-02-24,23.851461
2012-02-25,22.09381
2012-02-26,20.814547
2012-02-27,20.50513
2012-02-28,23.218056
2012-02-29,26.134335
2012-03-01,25.235733
2012-03-02,22.590471
2012-03-03,20.922932
2012-03-04,20.937635
2012-03-05,22.24114
2012-03-06,28.00612
2012-03-07,59.553577
2012-03-08,98.17143
2012-03-09,80.82668
2012-03-10,59.125298
2012-03-11,43.46848
2012-03-12,32.79734
2012-03-13,26.734161
2012-03-14,23.58953
2012-03-15,22.128206
2012-03-16,21.270393
2012-03-17,20.522017
2012-03-18,20.239092
2012-03-19,21.634583
2012-03-20,32.672874
2012-03-21,66.686066
2012-03-22,55.879036
2012-03-23,37.84447
2012-03-24,34.692043
2012-03-25,35.786324
2012-03-26,32.429413
2012-03-27,30.114418
2012-03-28,30.307587
2012-03-29,31.155815
2012-03-30,39.7791
2012-03-31,42.575916
2012-04-01,37.60747
2012-04-02,35.59793
2012-04-03,38.79896
2012-04-04,40.289402
2012-04-05,40.53248
2012-04-06,47.272793
2012-04-07,60.928112
2012-04-08,60.375206
2012-04-09,79.75927
2012-04-10,109.323685
2012-04-11,147.14578
2012-04-12,167.37439
2012-04-13,163.93912
2012-04-14,156.84674
2012-04-15,169.25258
2012-04-16,269.94897
2012-04-17,385.40146
2012-04-18,346.65225
2012-04-19,290.43765
2012-04-20,238.11133
2012-04-21,225.36368
2012-04-22,254.30743
2012-04-23,290.6987
2012-04-24,270.56848
2012-04-25,244.70975
2012-04-26,232.29382
2012-04-27,220.02904
2012-04-28,215.58102
2012-04-29,183.72374
2012-04-30,163.23578
2012-05-01,145.1973
2012-05-02,139.62993
2012-05-03,138.70967
2012-05-04,138.94965
2012-05-05,140.6363
2012-05-06,155.99158
2012-05-07,182.39592
2012-05-08,324.11075
2012-05-09,301.7907
2012-05-10,212.72133
2012-05-11,164.24702
2012-05-12,154.81516
2012-05-13,188.77333
2012-05-14,273.8794
2012-05-15,290.15363
2012-05-16,247.1293
2012-05-17,212.10341
2012-05-18,207.12096
2012-05-19,326.68585
2012-05-20,558.6376
2012-05-21,682.16327
2012-05-22,607.01074
2012-05-23,460.11688
2012-05-24,341.31955
2012-05-25,293.75024
2012-05-26,315.4724
2012-05-27,312.90857
2012-05-28,262.52466
2012-05-29,212.88219
2012-05-30,173.76712
2012-05-31,151.82393
2012-06-01,139.64584
2012-06-02,146.1015
2012-06-03,165.29222
2012-06-04,190.48743
2012-06-05,189.50401
2012-06-06,153.58293
2012-06-07,143.96204
2012-06-08,159.453
2012-06-09,174.91206
2012-06-10,242.68103
2012-06-11,296.24487
2012-06-12,299.4019
2012-06-13,303.57812
2012-06-14,293.14102
2012-06-15,266.91568
2012-06-16,235.74811
2012-06-17,271.0872
2012-06-18,362.11258
2012-06-19,282.8159
2012-06-20,195.76294
2012-06-21,151.13144
2012-06-22,146.95824
2012-06-23,162.96788
2012-06-24,144.26717
2012-06-25,132.92313
2012-06-26,151.12947
2012-06-27,159.97798
2012-06-28,174.02277
2012-06-29,195.88902
2012-06-30,237.48964
2012-07-01,239.31741
2012-07-02,196.9537
2012-07-03,191.4184
2012-07-04,236.3759
2012-07-05,315.72388
2012-07-06,370.56104
2012-07-07,319.82886
2012-07-08,342.7048
2012-07-09,356.2581
