lake,save_point_id,ari,scenario,precip_delta,temp_delta,fillin_twl_ft,climate_canvas_ft,diff_ft
huron,7085,50,_5_5,5.0,5.0,579.1339,579.132,0.0018
huron,7085,50,_10_3,10.0,3.0,582.874,582.8693,0.0047
huron,7085,50,_15_5,15.0,5.0,582.71,582.71,0.0
huron,7085,100,_0_1.5,0.0,1.5,581.1352,581.1492,-0.0141
huron,7085,100,_0_3,0.0,3.0,579.6916,579.6869,0.0047
huron,7085,100,_0_5,0.0,5.0,577.7231,577.7372,-0.0141
huron,7085,100,_5_3,5.0,3.0,581.3648,581.3539,0.0109
huron,7085,100,_5_5,5.0,5.0,579.4291,579.4146,0.0146
huron,7085,100,_10_3,10.0,3.0,583.1693,583.1646,0.0047
huron,7085,100,_15_5,15.0,5.0,583.0052,583.0052,-0.0
ontario,6695,1,_0_1.5,0.0,1.5,244.9475,244.9358,0.0117
ontario,6695,1,_0_3,0.0,3.0,243.9633,243.9726,-0.0094
ontario,6695,1,_0_5,0.0,5.0,242.6837,242.6884,-0.0047
ontario,6695,1,_5_3,5.0,3.0,245.21,245.1936,0.0164
ontario,6695,1,_5_5,5.0,5.0,244.0945,244.0781,0.0164
ontario,6695,1,_10_3,10.0,3.0,246.3583,246.3676,-0.0094
ontario,6695,1,_15_5,15.0,5.0,246.5223,246.5223,-0.0
ontario,6695,10,_0_1.5,0.0,1.5,246.5551,246.5457,0.0094
ontario,6695,10,_0_3,0.0,3.0,245.7021,245.7162,-0.0141
ontario,6695,10,_0_5,0.0,5.0,244.6194,244.61,0.0094
ontario,6695,10,_5_3,5.0,3.0,246.8176,246.8285,-0.0109
ontario,6695,10,_5_5,5.0,5.0,245.7349,245.7495,-0.0146
ontario,6695,10,_10_3,10.0,3.0,248.5564,248.5658,-0.0094
ontario,6695,10,_15_5,15.0,5.0,249.0814,249.0814,0.0
ontario,6695,50,_0_1.5,0.0,1.5,247.4738,247.4855,-0.0117
ontario,6695,50,_0_3,0.0,3.0,246.6864,246.677,0.0094
ontario,6695,50,_0_5,0.0,5.0,245.6037,245.599,0.0047
ontario,6695,50,_5_3,5.0,3.0,247.7362,247.7253,0.0109
ontario,6695,50,_5_5,5.0,5.0,246.6207,246.6171,0.0036
ontario,6695,50,_10_3,10.0,3.0,249.9016,249.9016,0.0
ontario,6695,50,_15_5,15.0,5.0,250.6562,250.6726,-0.0164
ontario,6695,100,_0_1.5,0.0,1.5,247.8346,247.8464,-0.0117
ontario,6695,100,_0_3,0.0,3.0,247.0472,247.0379,0.0094
ontario,6695,100,_0_5,0.0,5.0,245.9646,245.9599,0.0047
ontario,6695,100,_5_3,5.0,3.0,248.1955,248.1955,0.0
ontario,6695,100,_5_5,5.0,5.0,246.9816,246.9707,0.0109
ontario,6695,100,_10_3,10.0,3.0,250.4921,250.4874,0.0047
ontario,6695,100,_15_5,15.0,5.0,251.1811,251.1975,-0.0164
