time,Q_1,Q_3,Q_5,Q_2,Q_6,GW_unsat_1,GW_sat_1,PET_1,ET_1,P_1,P_3,P_5,P_2,P_6,P_3,P_5,P_2,P_6
1990-01-02T00:00:00,0.00028865192493387375,1.232570055767046,7.184736010520749,0.3102473417522877,0.04351624955730504,0.0,860.7895453304493,0.0,0.0,0.0,16.149999618530273,0.0,9.59000015258789,7.159999847412109,16.149999618530273,0.0,9.59000015258789,7.159999847412109
1990-01-03T00:00:00,0.6487810930191811,2.3751173939161117,8.420442901654864,0.30628785032916195,0.1000200911260161,0.0,860.757726117927,0.09073390536437559,0.09073390536437559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-04T00:00:00,8.496456289669577,2.3472438258201893,8.419120438211191,0.30652901017001666,0.10353403268276239,0.0,860.7243049016871,0.09964731401814317,0.09964731401814317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-05T00:00:00,8.647995440204697,2.344942355383182,8.417694325806087,0.3058111404433115,0.10669268168375222,0.0,860.6893018502861,0.10261844115434922,0.10261844115434922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-06T00:00:00,8.625983101938763,2.337755715696829,8.412406473474347,0.30395208998802425,0.10579632560356829,0.0,860.6527368501537,0.13415818898411,0.13415818898411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-07T00:00:00,8.573975979377952,2.33301053300192,8.409655871775913,0.3029439477767415,0.10586201132381912,0.0,860.6146295105028,0.1442143409398914,0.1442143409398914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-08T00:00:00,10.045914487861223,2.3415575697532995,8.614184036377228,0.4157713353477371,0.8753418563778645,43.287424621143494,860.1078891044357,5.131092169979622,5.131092169979622,50.83000183105469,0.0,42.02000045776367,55.939998626708984,76.38999938964844,0.0,42.02000045776367,55.939998626708984,76.38999938964844
1990-01-09T00:00:00,12.750588314860776,2.374488569048956,8.439840315488784,0.31383006287599985,1.317067238595839,70.0794326549001,860.0040395689524,1.6964302989644864,1.6964302989644864,29.049999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-10T00:00:00,12.270934947826287,2.408578884814266,8.426425870042374,0.30927387075803714,0.832172064573806,68.84345186792027,859.1931216478068,2.062312224312363,2.062312224312363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-11T00:00:00,11.654912117775968,2.3987295558616584,8.412958050566266,0.3046530356644407,0.5757540870693899,66.24062445725889,857.4431511063664,4.4385745339415354,4.4385745339415354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-12T00:00:00,12.151556598420548,2.401822404203775,8.42674885232382,0.3097711435700672,0.5238881505515326,99.21871621321041,858.2407022967258,2.496328878655433,2.496328878655433,37.22999954223633,0.0,0.0,0.0,21.75,0.0,0.0,0.0,21.75
1990-01-13T00:00:00,12.533120847067533,2.3861957926239583,8.42218637139628,0.307293315736828,0.4427429962461075,95.23126512673807,859.6816228840042,2.56614944928948,2.56614944928948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-14T00:00:00,11.362012941791042,2.3829516976669414,8.42472261133948,0.3087365652761347,0.4485960876417246,90.70310270163421,862.229699154677,1.9774869176030143,1.9774869176030143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-15T00:00:00,10.823740390629736,2.3647204498234404,8.41472186142297,0.30494648370455535,0.36755726531161437,84.87893669924996,864.4629905917784,3.6316532804385657,3.6316532804385657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-16T00:00:00,10.26170625941642,2.357103588071422,8.414891307960339,0.3047270869501818,0.27858744557049986,79.23600539741763,867.0354366848783,3.092159392762692,3.092159392762692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-17T00:00:00,9.906548700951145,2.357856462197475,8.416325176206994,0.305524459404733,0.225413038751844,73.93646043764045,869.5078755470254,2.8353034747685277,2.8353034747685277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-18T00:00:00,9.640103755330731,2.351117321873478,8.411881459794923,0.3039666064527228,0.18714917615477944,68.6104441724474,871.1297952236336,3.735582593168392,3.735582593168392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-19T00:00:00,9.419786060695804,2.3482185276795584,8.411864534571983,0.30381345000486365,0.15768146272718023,63.769725766448296,872.4772259912332,3.511443700061118,3.511443700061118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-20T00:00:00,9.289531357310103,2.35110079338482,8.414209556882026,0.3048031975823036,0.14016613400636524,59.39473808936264,873.574099589199,3.283508353583267,3.283508353583267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-21T00:00:00,9.387990448003533,2.6373581878942662,8.517591205923695,0.35687464318383544,0.287882260923694,55.093802264949474,874.1119131481564,3.782513861546791,3.782513861546791,0.0,42.93000030517578,22.610000610351562,26.989999771118164,24.760000228881836,42.93000030517578,22.610000610351562,26.989999771118164,24.760000228881836
1990-01-22T00:00:00,11.19071418987167,2.5325616046401493,8.473296117303219,0.3378893848447346,0.7907697704204953,64.34559761199918,876.1581024105209,2.251114284891923,2.251114284891923,13.930000305175781,14.569999694824219,9.239999771118164,14.949999809265137,19.149999618530273,14.569999694824219,9.239999771118164,14.949999809265137,19.149999618530273
1990-01-23T00:00:00,12.33437393880896,2.385837164181522,8.421080497629315,0.30725455998445605,1.0242018304103153,60.924417852385105,876.6895656370549,2.850692229778375,2.850692229778375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-24T00:00:00,11.434311800897193,2.348144696355087,8.409272227348525,0.3034591038339951,0.6251523153074443,56.90168948551322,876.3048793793951,4.416840461783128,4.416840461783128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-25T00:00:00,10.413011556921072,2.455944319183171,8.41547603547202,0.3057280046517139,0.3848180308992512,53.68900468899153,876.3814079687905,3.1126782053699804,3.1126782053699804,0.0,14.569999694824219,0.0,0.0,0.0,14.569999694824219,0.0,0.0,0.0
1990-01-26T00:00:00,10.568271772462305,2.4888209476509555,8.464266645090685,0.31282625625306837,0.36030007153504806,63.03270944399945,877.5757720609602,3.017737950838808,3.017737950838808,13.930000305175781,14.569999694824219,9.239999771118164,0.0,9.569999694824219,14.569999694824219,9.239999771118164,0.0,9.569999694824219
1990-01-27T00:00:00,12.104384132768045,2.612939957456356,8.578685274459433,0.375155555220165,0.8172048612889461,76.42837439624141,878.591064168606,4.0716123133651605,4.0716123133651605,18.950000762939453,31.8799991607666,33.7599983215332,34.720001220703125,26.520000457763672,31.8799991607666,33.7599983215332,34.720001220703125,26.520000457763672
1990-01-28T00:00:00,14.189569974526183,2.4152270598388257,8.420749885635345,0.30681610733548637,2.0152804043057975,72.79943111424195,878.4240059193064,3.7681790363461825,3.7681790363461825,0.0,0.0,0.0,0.0,26.520000457763672,0.0,0.0,0.0,26.520000457763672
1990-01-29T00:00:00,18.09789517519447,4.92751206099672,8.420458215288106,10.946725466101642,2.9306495898479743,86.90240233736117,898.3796852346122,2.6656626972187514,2.6656626972187514,37.90999984741211,95.6500015258789,0.0,34.720001220703125,26.520000457763672,95.6500015258789,0.0,34.720001220703125,26.520000457763672
1990-01-30T00:00:00,24.616686714632653,7.827678232317982,8.424102592714943,15.25542246064846,2.251365581245923,69.69357176256845,913.7298144443218,1.687940143296598,1.687940143296598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-31T00:00:00,36.30394921040733,4.09030247835008,8.421977079392812,3.9485744839479615,1.7095395612093387,63.18513868334802,936.1148245947792,2.4185122607833853,2.4185122607833853,18.950000762939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-01T00:00:00,33.51084903246882,8.77510122482856,8.41689542697378,1.328096019809501,3.1498992273705984,46.26719542978159,965.4261548130212,3.216922629226337,3.216922629226337,18.950000762939453,63.77000045776367,0.0,0.0,26.520000457763672,63.77000045776367,0.0,0.0,26.520000457763672
1990-02-02T00:00:00,43.17177928646714,10.608651118047037,55.91595509266487,0.9234093464694731,2.9179608428677275,25.266069033457075,981.9493449004591,4.155132587810907,4.155132587810907,0.0,0.0,6.519999980926514,7.0,8.260000228881836,0.0,6.519999980926514,7.0,8.260000228881836
1990-02-03T00:00:00,76.63313194975885,4.955553944928971,50.47212152694921,0.8644962196087176,2.0473516816609294,13.07291916560369,997.3301871450598,4.1757314531173675,4.1757314531173675,7.940000057220459,0.0,0.0,5.360000133514404,0.0,0.0,0.0,5.360000133514404,0.0
