time,Q_1,Q_3,Q_5,Q_2,Q_6,GW_unsat_1,GW_sat_1,PET_1,ET_1,P_1,P_3...12,P_5...13,P_2...14,P_6...15,P_3...16,P_5...17,P_2...18,P_6...19
1990-11-14T00:00:00Z,6.72969321642734,0.11075288261768168,6.564426699939532,0.29963010935596174,0.00976118617498494,27.004277248567977,854.372681087415,0.3333846635596196,0.3333846635596196,0,0,0,0,0,0,0,0,0
1990-11-15T00:00:00Z,6.56667058670293,0.10880698399350049,6.396810304092626,0.29916050086854873,0.00932117099639697,26.809024702356034,854.1781780725665,0.33215292517001305,0.33215292517001305,0,0,0,0,0,0,0,0,0
1990-11-16T00:00:00Z,6.649866347267879,0.0930068503908038,6.234190244279609,0.30170057883086426,0.04050250610763576,34.93599266152582,853.5151609637574,3.9394647088910464,3.9394647088910464,11.760000228881836,0,0,0,15.25,0,0,0,15.25
1990-11-17T00:00:00Z,6.6737619789240945,0.05271727169923806,6.080506594775408,0.30639628152734955,0.07117693114693177,37.41455241827258,853.2248251592201,1.2557751455093191,1.2557751455093191,3.690000057220459,0,0,0,0,0,0,0,0
1990-11-18T00:00:00Z,6.304913524926713,0.03407726808974919,5.910698930903237,0.305122332490281,0.05714759886212665,36.31511113907533,852.533141407577,1.652796745335035,1.652796745335035,0,0,0,0,0,0,0,0,0
1990-11-19T00:00:00Z,6.027878337527154,0.02278764894404549,5.725350864160438,0.30060123278050577,0.03371031905378693,34.43094569481262,851.4273385681261,2.8994954134461572,2.8994954134461572,0,0,0,0,0,0,0,0,0
1990-11-20T00:00:00Z,5.738974965481054,0.01460029661865526,5.537332306130158,0.29956566271406265,0.01748899865527865,32.35887551039457,850.1239030373777,3.321557007576964,3.321557007576964,0,0,0,0,0,0,0,0,0
1990-11-21T00:00:00Z,5.641504832646741,0.03928180308341598,5.433325835075031,0.3220077272122939,0.02827754825113295,33.524995144311816,849.2203660226126,3.272345009472581,3.272345009472581,3.690000057220459,16.15999984741211,10.9399995803833,9.449999809265137,9.59000015258789,16.15999984741211,10.9399995803833,9.449999809265137,9.59000015258789
1990-11-22T00:00:00Z,6.042022136691923,0.19957411281328236,5.302582780709345,0.31335976703111773,0.09694917266175392,42.62113759811569,848.51440356054,4.538065214388537,4.538065214388537,13.300000190734863,14.789999961853027,10.029999732971191,6,17.719999313354492,14.789999961853027,10.029999732971191,6,17.719999313354492
1990-11-23T00:00:00Z,6.051222005180911,0.20004116894218724,5.119354114874074,0.31483037496688926,0.14530979814882428,41.32301081161541,847.7610712238854,1.92913126566623,1.92913126566623,0,0,0,6,0,0,0,6,0
