time,Q_1,Q_3,Q_5,Q_2,Q_6,GW_unsat_1,GW_sat_1,PET_1,ET_1,P_1,P_3...12,P_5...13,P_2...14,P_6...15,P_3...16,P_5...17,P_2...18,P_6...19
2014-02-18T00:00:00Z,9.479919972991627,2.528385709205461,8.375293125835498,0.31115148426601225,0.24832227617221575,59.582739872986394,861.0985509907994,2.4731733463692622,2.4731733463692622,0,0,0,0,0,0,0,0,0
2014-02-19T00:00:00Z,9.291034924548208,2.507766425922942,8.370530068469739,0.3097305228297011,0.21456328799189983,56.35738694674457,861.0928830495253,2.99998276821403,2.99998276821403,0,0,0,0,0,0,0,0,0
2014-02-20T00:00:00Z,9.125313318660808,2.4957441302238186,8.373567367426931,0.3102737963287645,0.18576022630947023,53.63062464472709,861.247098480183,2.325150433478527,2.325150433478527,0,0,0,0,0,0,0,0,0
2014-02-21T00:00:00Z,8.984487467401424,2.479981043358002,8.36914997214844,0.30926576426275,0.15993364523109174,50.86249441344192,861.0659495979456,2.7349878287731446,2.7349878287731446,0,0,0,0,0,0,0,0,0
2014-02-22T00:00:00Z,8.85944413277,2.479105796737221,8.375314972222123,0.31181648049246474,0.14179288604380277,48.88064665240366,861.4036548967307,1.4068933276773967,1.4068933276773967,0,0,0,0,0,0,0,0,0
2014-02-23T00:00:00Z,8.851179511874612,2.4790840456157124,8.380715712890327,0.3131881058470558,0.13965449802931873,47.5588644074427,862.0213844957875,0.4299295258714206,0.4299295258714206,0,0,0,0,0,0,0,0,0
2014-02-24T00:00:00Z,8.844551210921253,2.466622575278187,8.376471009142799,0.31124772646536575,0.13857211281441623,46.4682115950083,862.5158253209479,0.33829282490606066,0.33829282490606066,0,0,0,0,0,0,0,0,0
2014-02-25T00:00:00Z,8.8199431557454009,2.466784260181498,8.379331286853255,0.3125523861318795,0.13540483877382645,45.60410740674538,862.9307328819582,0.18618119901397356,0.18618119901397356,0,0,0,0,0,0,0,0,0
2014-02-26T00:00:00Z,8.813565677655037,2.5944997895535464,8.401261118478125,0.3339903085291962,0.12778397958423734,44.8706374971342,863.2373928503414,0.18294972279952637,0.18294972279952637,0,18.1299991607666,5.5,12.1899995803833,0,18.1299991607666,5.5,12.1899995803833,0
2014-02-27T00:00:00Z,8.849084430238467,2.5975198705601046,8.384506168768313,0.31442857864515567,0.12708244596164087,44.28220567102705,863.4475904739284,0.09090622564670098,0.09090622564670098,0,0,0,0,0,0,0,0,0
2014-02-28T00:00:00Z,8.827026866705054,2.671803809048875,8.37511153874461,0.31047405569293235,0.12287934541283152,43.75379261913709,863.5763295827003,0.14860670961131325,0.14860670961131325,0,0,0,0,0,0,0,0,0
2014-03-01T00:00:00Z,8.736965797515149,2.6186090600535685,8.371068755522336,0.3087024740351677,0.11148364149542792,43.2846082095999,863.6351417097015,0.18339080661148235,0.18339080661148235,0,0,0,0,0,0,0,0,0
2014-03-02T00:00:00Z,8.700436987490804,2.5565044925801654,8.372669375015276,0.3094536395922378,0.10058333794895766,42.870220906843365,863.6410692017024,0.17506478470513856,0.17506478470513856,0,0,0,0,0,0,0,0,0
2014-03-03T00:00:00Z,9.19904100370744,2.7429305070793837,8.455664444382814,0.7975201966668611,0.20942730549006583,54.49340806058934,863.3053288763372,3.4923962274474905,3.4923962274474905,15.390000343322754,20.729999542236328,16.34000015258789,27.15999984741211,15.770000457763672,20.729999542236328,16.34000015258789,27.15999984741211,15.770000457763672
2014-03-04T00:00:00Z,9.951360255411704,3.1827720359892187,8.388169596058411,1.2138835925953475,0.5539744116393372,62.148253488111024,863.087629139387,2.3012062886107016,2.3012062886107016,10.260000228881836,10.369999885559082,0,0,7.889999866485596,10.369999885559082,0,0,7.889999866485596
2014-03-05T00:00:00Z,10.16602343377026,3.081354638220782,8.406035222734042,1.8439805239446856,0.6365050556641666,64.65052509809529,862.5579439382681,2.768436345235849,2.768436345235849,5.130000114440918,0,5.449999809265137,9.050000190734863,7.889999866485596,0,5.449999809265137,9.050000190734863,7.889999866485596
2014-03-06T00:00:00Z,11.477496359950178,6.197353463982895,8.461090174484584,5.43087960892313,1.671246691510523,71.85304938405211,862.2277896855434,2.8821865542669074,2.8821865542669074,10.260000228881836,41.459999084472656,16.34000015258789,27.15999984741211,23.65999984741211,41.459999084472656,16.34000015258789,27.15999984741211,23.65999984741211
2014-03-07T00:00:00Z,18.74986216960517,13.969832069752943,8.487114460751078,9.301330885199532,5.755397155771429,85.9694447798796,861.96627786546,3.0471041850021696,3.0471041850021696,17.56999969482422,18.61000061035156,21.299999237060547,34.459999084472656,23.040000915527344,18.61000061035156,21.299999237060547,34.459999084472656,23.040000915527344
2014-03-08T00:00:00Z,32.855528707348434,26.782606950626626,8.379693338380592,4.741009832671128,4.838078709291458,83.40663751477275,860.6379796077073,3.657468984321321,3.657468984321321,0,0,0,0,0,0,0,0,0
2014-03-09T00:00:00Z,25.61229821069363,30.12527495776536,9.800601783325078,1.482473447902034,2.234862567526074,80.80891415571445,859.4108808682392,3.598818388598,3.598818388598,0,27.90999984741211,0,0,0,27.90999984741211,0,0,0
2014-03-10T00:00:00Z,36.13634532448345,47.00106217119134,56.95433501906312,4.6839300924110585,1.2820204446309458,85.48789403186134,859.2933490314406,3.7886676006797377,3.7886676006797377,8.789999961853027,18.61000061035156,10.649999618530272,17.229999542236328,11.520000457763672,18.61000061035156,10.649999618530272,17.229999542236328,11.520000457763672
2014-03-11T00:00:00Z,74.90406490595369,40.77718166659048,75.78956737409983,4.177348985912793,2.127838339008846,84.02751213492883,859.2397151974334,1.216868878302922,1.216868878302922,0,0,0,0,0,0,0,0,0
2014-03-12T00:00:00Z,79.08455370248164,20.29351337245426,52.33654904219347,1.7363478876315228,1.8773213353216,82.16156088633916,858.9541751548869,1.8753389145925816,1.8753389145925816,0,0,0,0,0,0,0,0,0
2014-03-13T00:00:00Z,46.55830373586444,20.57812620114301,24.748533406292243,0.8048287183067229,0.9166131065900376,79.51700844329477,858.1403706161525,3.2274822491839767,3.2274822491839767,0,0,0,0,0,0,0,0,0
